Label,Tweet,,,,,,,,,,,,,,,,,,
HS,"Ini pasti salah Jokowi, Ahok dan kafir-kafir ateis. ",,,,,,,,,,,,,,,,,,
HS,@fahmiabuazzam1 biar aja biar tai nya kena bapak lo itu ya. Loh tuh kan gak suka sm ahok jadi biar loh sm bpk loh sm ibu loh kena tai nya.,,,,,,,,,,,,,,,,,,
HS,Angin memporakporandakan basis pemenangan Si Penista Agama...Cililitan.Ya Alloh Ampuni Kami #JakartaBanjir,,,,,,,,,,,,,,,,,,
HS,"Prestasi Ahok, Selain mjadi mafia koruptor n penista agama, dirinya bhasil tenggelamkan JKT MELALUI congoran CEBON",,,,,,,,,,,,,,,,,,
HS,Ulama Kompak Nyatakan #HaramPemimpinKafir Pilih Ahok = Murtad!,,,,,,,,,,,,,,,,,,
HS,KAU PENDIKAN TINGGI TAPI BODOH....GK ADA LARANG BAWA AGAMA..BIAR ORANG ISLAM yang DI BAYAR AHOK SADAR GK JADI MILIH AHOK GLA,,,,,,,,,,,,,,,,,,
HS,@indopoints di tanah abang cina udah mulai resah dan stres gara2 si penista agama dan pilkada pasar jd sepi. Sepi sampai 2 minggu lg ha. ha,,,,,,,,,,,,,,,,,,
HS,@investigator_RI betul dan semua pihak yang menentang si cina kafir ahok akan di kriminalisasi oleh polisi dengan smua rekayasa hukum nya,,,,,,,,,,,,,,,,,,
HS,@YohanesTarigan9 saya ga habis pikir kenapa fanboy ahok bego bego ya pada ga ngerti sejarah. Gampang kejebak iklan. Maaf ya.,,,,,,,,,,,,,,,,,,
HS,@Zufrianto3 lebih baik pilih ahok daripada pilih yang se iman tp koruptor dn munafik !! Bodoh kau,,,,,,,,,,,,,,,,,,
HS,Ahok si penghina Al - Quran dan Ulama ini selalu bersikap menjijikkan yaitu sok suci dan merasa paling benar,,,,,,,,,,,,,,,,,,
HS,"Ayo umat Islam yang pinter, jangan percaya klo aksi 112 tidak ada hubungannya dengan pilkada, pihak AHY yang bayar anies yang untung",,,,,,,,,,,,,,,,,,
HS,#DebatFinalPilkadaJKT mampuuuusssssss mpoK Silvy!!!!,,,,,,,,,,,,,,,,,,
HS,Hidup china komunis ! ,,,,,,,,,,,,,,,,,,
HS,Ini tuh kesalahan Jokowi dan Ahok si babi ateis. ,,,,,,,,,,,,,,,,,,
HS,Kalo ahok menang pilkada bikin video sex bareng anaknya dong tan.?,,,,,,,,,,,,,,,,,,
HS,Keluarga Besar Kami Yang Berdomisili di Jakarta TIDAK PILIH AHOK!!  Suara Ulama Bulat! #HaramPilihAhok #JanganGolput,,,,,,,,,,,,,,,,,,
HS,ketutunan cina dari luar kota dan pulau mulai kejakarta mau coblos ahok dengan KTP aspal dari kamboja,,,,,,,,,,,,,,,,,,
HS,china babi... china maling...#UsirChina,,,,,,,,,,,,,,,,,,
HS,Masih mau memilih Agus-Sylvi???Anaknya SBY dan Keluarga Koruptor#BlusukanAhok#BerjamaahCoblosPecinya2026,,,,,,,,,,,,,,,,,,
HS,tangkap ahok dan klompok nya yang melakukan pemalsuan e KTP karna merupakan penghiyanat bagi bangsa dan negara,,,,,,,,,,,,,,,,,,
HS,"Tangkap Ahok Sekarang Juga, Share Jika Setuju !!!",,,,,,,,,,,,,,,,,,
HS,"Sayang sekali Bangsa ini Paling jago kalau merasa-rasa. yang mendukung Pak Ahok merasa paling benar, yang mendukung Mas Anies merasa paling suci",,,,,,,,,,,,,,,,,,
HS,Video Ahok Menghina Agama Kristen Agama Konyol #AhokPecahBelahBangsa,,,,,,,,,,,,,,,,,,
HS,"Bukan Hanya Penista Agama, Bagi JPU Ahok Pemecah Belah Bangsa ",,,,,,,,,,,,,,,,,,
