Label,Tweet,,,,,,,,,,,,,,,,,,
Non_HS,Fadli Zon Minta Mendagri Segera Menonaktifkan Ahok Jadi Gubernur DKI,,,,,,,,,,,,,,,,,,
Non_HS,Mereka terus melukai aksi dalam rangka memenjarakan Ahok atau Ahok gagal dalam Pilkada.,non-hs,,,,,,,,,,,,,,,,,
Non_HS,bagaimana gurbernur melakukan kekerasan perempuan? Buktinya banyak ibu2 mau foto bareng,sampe row 1355,,,,,,,,,,,,,,,,,
Non_HS,"Ahmad Dhani Tak Puas Debat Pilkada, Masalah Jalan di Bekasi Belum Sempat Terungkap",,,,,,,,,,,,,,,,,,
Non_HS,Waspada KTP palsu.....kawal PILKADA,,,,,,,,,,,,,,,,,,
Non_HS,"masih bnyak hal agamis yang bisa dibahas, kenapa ke pilkada terus, apa tingkat keimanan anda cuma sebatas pilkada????",,,,,,,,,,,,,,,,,,
Non_HS,apa maksud pernyataan. Anda? Apa anda mengaminkan kriminalisasi Ahok?? Hati2 jg dg mulutmu pak!,,,,,,,,,,,,,,,,,,
Non_HS,Ahok Akan Integrasikan Transportasi Publik dengan Sistem Single Ticketing 2026,,,,,,,,,,,,,,,,,,
Non_HS,"Ahok mampu melawan korupsi di ibukota, bangun infrastruktur, mencoba memperbaiki dengan berbagai trobosan dan works well.",,,,,,,,,,,,,,,,,,
Non_HS,"Awasi Kecurangan Pilkada, Agus - Sylvi Pakai Aplikasi Ini",,,,,,,,,,,,,,,,,,
Non_HS,"Bisa gak kita seperti Jokowi dan Ahok? Aku kalem, kamu tegas saling melengkapi. :')",,,,,,,,,,,,,,,,,,
Non_HS,"Bos mau makan di istana ga, Di undang noh makan di istana Gebang tapinya",,,,,,,,,,,,,,,,,,
Non_HS,Cuti Habis Ahok Jadi Gubernur DKI Lagi? Pengamat: Jangan Mengada-ada | Republika Online,,,,,,,,,,,,,,,,,,
Non_HS,Debat terakhir Pilkada DKI Jakarta digelar Jumat malam.,,,,,,,,,,,,,,,,,,
Non_HS,Demonstran FPD Malteng Desak Bawaslu Hentikan Sementara Tahapan Pilkada Maluku Tengah,,,,,,,,,,,,,,,,,,
Non_HS,"Dulu Didesak Berhentikan Ahok Ngeles Usai Masa Cuti Pilkada, Sekarang Kampanye Mau Habis Kemendagri Ragu-ragu",,,,,,,,,,,,,,,,,,
Non_HS,"Gila gara2 pilkada, beberapa tokoh menampakkan watak aslinya.",,,,,,,,,,,,,,,,,,
Non_HS,Gontor Izinkan Santrinya Pulang Kampung Nyoblos Pilkada DKI | Republika Online,,,,,,,,,,,,,,,,,,
Non_HS,"Gubernur non-aktif DKI Jakarta, Basuki Tjahaja Purnama atau Ahok, berencana merombak struktur jabatan pegawai…",,,,,,,,,,,,,,,,,,
Non_HS,HEBAT .. !!! Imam Besar Masjid Istiqlal : Kalimat Ahok 100% Tidak Ada Penistaan AGAMA .. !! SEBARKAN,,,,,,,,,,,,,,,,,,
Non_HS,"Ibu2 aja, kalo beli telor pake milih2 sblm ditimbang. Pdh telor kan mirip2. Ibu2 itu tahu, telor ada yang busuk",,,,,,,,,,,,,,,,,,
Non_HS,Ini Jawaban Ahok Saat Ditanya Terkait Persiapan Debat Pilgub Terakhir Besok,,,,,,,,,,,,,,,,,,
Non_HS,Ini Pesan Ahok di Hari Pers Nasional,,,,,,,,,,,,,,,,,,
Non_HS,Istighotsah Bersama Ahok Catut Logo NU,,,,,,,,,,,,,,,,,,
Non_HS,Itu yang ngomong jangan pilih Ahok Djarot pernah ngerasain banjir ga sih? :(,,,,,,,,,,,,,,,,,,
Non_HS,Iya aja deh dripada hoax...,,,,,,,,,,,,,,,,,,
Non_HS,Jadi teringat para pelacur.belia yang dijual orang tuanya.sendiri di pantura.demi sesuap nasi,,,,,,,,,,,,,,,,,,
Non_HS,jadi yang nyebar hoax ketahuan dong ada akun twitter nya lho,,,,,,,,,,,,,,,,,,
Non_HS,Mpok tolong Mas,,,,,,,,,,,,,,,,,,
Non_HS,Ke Bidara beli mangga. Pulang nye liwat Slipi. Jangan lupa ingetin tetangga. Untuk milih Agus sylvi.,,,,,,,,,,,,,,,,,,
Non_HS,Serius tapi ada selipan hiburannya,,,,,,,,,,,,,,,,,,
Non_HS,Sylvie sukses blunder bikin paslon 1 drop elektabilitasnya dengan fitnah dan spin salah pilih kader,,,,,,,,,,,,,,,,,,
Non_HS,Ahok: mari berlomba program,,,,,,,,,,,,,,,,,,
Non_HS,aduh... Kecewa pertanyaan paslon 1....,,,,,,,,,,,,,,,,,,
Non_HS,Saya pilih nomor 1. Sektor informal akan dimajukan mas Agus dan Mpok Sylvi.,,,,,,,,,,,,,,,,,,
Non_HS,Ahok pilihan terbaik untuk Jakarta,,,,,,,,,,,,,,,,,,
Non_HS,Bu Silvy curhat karena pernah dimarahi sama Pak Ahok...hehe..,,,,,,,,,,,,,,,,,,
Non_HS,Mantap pak AHOK,,,,,,,,,,,,,,,,,,
Non_HS,Ahok gagah kaya gatot kaca!,,,,,,,,,,,,,,,,,,
