Label,Tweet,,,,,,,,,,,,,,,,,,
Non_HS,Fadli Zon Minta Mendagri Segera Menonaktifkan Ahok Jadi Gubernur DKI https:\/\/t.co\/KH5vIRwPdO,,,,,,,,,,,,,,,,,,
Non_HS,Mereka terus melukai aksi dalam rangka memenjarakan Ahok atau Ahok gagal dalam Pilkada.,,,,,,,,,,,,,,,,,,
Non_HS,bagaimana gurbernur melakukan kekerasan perempuan? Buktinya banyak ibu2 mau foto bareng #DebatFinalPilkadaJKT,,,,,,,,,,,,,,,,,,
Non_HS,"Ahmad Dhani Tak Puas Debat Pilkada, Masalah Jalan di Bekasi Belum Sempat Terungkap https:\/\/t.co\/m3HopPLUID\u2026",,,,,,,,,,,,,,,,,,
Non_HS,Waspada KTP palsu.....kawal PILKADA https:\/\/t.co\/OOoERQV4SM,,,,,,,,,,,,,,,,,,
Non_HS,"masih bnyak hal agamis yang bisa dibahas, kenapa ke pilkada terus, apa tingkat keimanan anda cuma sebatas pilkada????",,,,,,,,,,,,,,,,,,
Non_HS,apa maksud pernyataan. Anda? Apa anda mengaminkan kriminalisasi Ahok?? Hati2 jg dg mulutmu pak! https:\/\/t.co\/H4ODVaY0Md,,,,,,,,,,,,,,,,,,
Non_HS,Ahok Akan Integrasikan Transportasi Publik dengan Sistem Single Ticketing\u2026 https:\/\/t.co\/42PH7pqV0b #infoTribun,,,,,,,,,,,,,,,,,,
Non_HS,"Ahok mampu melawan korupsi di ibukota, bangun infrastruktur, mencoba memperbaiki dengan berbagai trobosan dan works well.",,,,,,,,,,,,,,,,,,
Non_HS,"Awasi Kecurangan Pilkada, Agus - Sylvi Pakai Aplikasi Ini https:\/\/t.co\/xWZW4nUFIU",,,,,,,,,,,,,,,,,,
Non_HS,"Bisa gak kita seperti Jokowi dan Ahok? Aku kalem, kamu tegas saling melengkapi. :')",,,,,,,,,,,,,,,,,,
Non_HS,"Bos mau makan di istana ga, Di undang noh makan di istana Gebang tapinya https:\/\/t.co\/ns6cUYCpUj",,,,,,,,,,,,,,,,,,
Non_HS,Cuti Habis Ahok Jadi Gubernur DKI Lagi? Pengamat: Jangan Mengada-ada | Republika Online https:\/\/t.co\/T3kzvq9E4e,,,,,,,,,,,,,,,,,,
Non_HS,Debat terakhir Pilkada DKI Jakarta digelar Jumat malam. https:\/\/t.co\/e9ixz6Jllr,,,,,,,,,,,,,,,,,,
Non_HS,Demonstran FPD Malteng Desak Bawaslu Hentikan Sementara Tahapan Pilkada Maluku Tengah,,,,,,,,,,,,,,,,,,
Non_HS,"Dulu Didesak Berhentikan Ahok Ngeles Usai Masa Cuti Pilkada, Sekarang Kampanye Mau Habis Kemendagri Ragu-ragu https:\/\/t.co\/92ss4trDcX",,,,,,,,,,,,,,,,,,
Non_HS,"Gila gara2 pilkada, beberapa tokoh menampakkan watak aslinya.",,,,,,,,,,,,,,,,,,
Non_HS,Gontor Izinkan Santrinya Pulang Kampung Nyoblos Pilkada DKI | Republika Online https:\/\/t.co\/JhNOT8ecNz,,,,,,,,,,,,,,,,,,
Non_HS,"Gubernur non-aktif DKI Jakarta, Basuki Tjahaja Purnama atau Ahok, berencana merombak struktur jabatan pegawai... https:\/\/t.co\/cdKEZxF9xO",,,,,,,,,,,,,,,,,,
Non_HS,HEBAT .. !!! Imam Besar Masjid Istiqlal : Kalimat Ahok 100% Tidak Ada Penistaan AGAMA .. !! SEBARKAN,,,,,,,,,,,,,,,,,,
Non_HS,"Ibu2 aja, kalo beli telor pake milih2 sblm ditimbang. Pdh telor kan mirip2. Ibu2 itu tahu, telor ada yang busuk",,,,,,,,,,,,,,,,,,
Non_HS,Ini Jawaban Ahok Saat Ditanya Terkait Persiapan Debat Pilgub Terakhir Besok https:\/\/t.co\/S6rlsAR7Y9,,,,,,,,,,,,,,,,,,
Non_HS,Ini Pesan Ahok di Hari Pers Nasional #KitaPastiPernah https:\/\/t.co\/h0L6mrjM3R,,,,,,,,,,,,,,,,,,
Non_HS,Istighotsah Bersama Ahok Catut Logo NU https:\/\/t.co\/U2rPY3C25R,,,,,,,,,,,,,,,,,,
Non_HS,Itu yang ngomong jangan pilih Ahok Djarot pernah ngerasain banjir ga sih? :(,,,,,,,,,,,,,,,,,,
Non_HS,Iya aja deh dripada hoax...,,,,,,,,,,,,,,,,,,
Non_HS,Jadi teringat para pelacur.belia yang dijual orang tuanya.sendiri di pantura.demi sesuap nasi https:\/\/t.co\/X5DdR7m693,,,,,,,,,,,,,,,,,,
Non_HS,jadi yang nyebar hoax ketahuan dong ada akun twitter nya lho,,,,,,,,,,,,,,,,,,
Non_HS,Mpok @sylviana_murni-nya tolong Mas @AgusYudhoyono,,,,,,,,,,,,,,,,,,
Non_HS,Ke Bidara beli mangga. Pulang nye liwat Slipi. Jangan lupa ingetin tetangga. Untuk milih Agus sylvi. #7HariLagiMilihAHY #AgusBersamaUlama,,,,,,,,,,,,,,,,,,
Non_HS,Serius tapi ada selipan hiburannya \ud83d\ude06\ud83d\ude06\ud83d\ude06 #pilkadadki2017 #DebatFinalPilkadaJKT,,,,,,,,,,,,,,,,,,
